category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	Enrichment	GO_score
COMPARTMENTS	GOCC:0005737	74	7871	9606	PCK2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,EMC8,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,PML,LPCAT1,DTX3L,ERAP1,FABP5,COX11,F2,STAT2,WASHC5,OS9,SLC25A22,HBA1,TRIM25,PARP10,LIMS2,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,WARS,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,IFI16,GBP1,IFIT1,IFIT3,SLC38A10,PSMB9,PSMB8,ECE1,TAP2,SKIV2L,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,SAMD9,DNAJA4,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,PARP14,SSBP1,ATP2C1	PCK2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,EMC8,TRIM21,OASL,LGALS3BP,IFIH1,HERC5,PML,LPCAT1,DTX3L,ERAP1,FABP5,COX11,F2,STAT2,KIAA0196,OS9,SLC25A22,HBA1,TRIM25,PARP10,LIMS2,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,WARS,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,IFI16,GBP1,IFIT1,IFIT3,SLC38A10,PSMB9,PSMB8,ECE1,TAP2,SKIV2L,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,SAMD9,DNAJA4,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,PARP14,SSBP1,ATP2C1	1.56e-12	3.6e-09	Cytoplasm	8.443697499232712	0.2742318029987303	2.3155303891904566
COMPARTMENTS	GOCC:0005622	86	11202	9606	PCK2,PSME2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,EMC8,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,IFIH1,HERC5,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,NSD3,STAT2,WASHC5,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,LIMS2,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,WARS,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,DDR2,IFI16,GBP1,IFIT5,IFIT1,IFIT3,SLC38A10,PSMB9,PSMB8,ECE1,TAP2,SKIV2L,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,SAMD9,RCL1,DNAJA4,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,PARP14,SSBP1,ATP2C1,NR2C2	PCK2,PSME2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,EMC8,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,IFIH1,HERC5,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,WHSC1L1,STAT2,KIAA0196,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,LIMS2,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,WARS,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,DDR2,IFI16,GBP1,IFIT5,IFIT1,IFIT3,SLC38A10,PSMB9,PSMB8,ECE1,TAP2,SKIV2L,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,SAMD9,RCL1,DNAJA4,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,PARP14,SSBP1,ATP2C1,NR2C2	6.01e-11	6.94e-08	Intracellular	7.158640529545145	0.1862328785748269	1.3331742324996154
COMPARTMENTS	GOCC:0043227	72	8685	9606	PCK2,PSMD10,LAP3,OAS3,NMI,APOL2,EMC8,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,NSD3,STAT2,WASHC5,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,EHD3,MX2,OAS2,SP100,JAK1,DNAJB12,TAP1,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,IFI16,GBP1,IFIT3,SLC38A10,PSMB8,ECE1,TAP2,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,RCL1,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,SSBP1,ATP2C1,NR2C2	PCK2,PSMD10,LAP3,OAS3,NMI,APOL2,EMC8,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,WHSC1L1,STAT2,KIAA0196,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,EHD3,MX2,OAS2,SP100,JAK1,DNAJB12,TAP1,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,IFI16,GBP1,IFIT3,SLC38A10,PSMB8,ECE1,TAP2,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,RCL1,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,SSBP1,ATP2C1,NR2C2	5.48e-09	4.22e-06	Membrane-bounded organelle	5.374687549038326	0.21959266931213217	1.1802419856120072
COMPARTMENTS	GOCC:0043226	77	9848	9606	PCK2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,APOL2,EMC8,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,NSD3,STAT2,WASHC5,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,GRAMD1C,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,DDR2,IFI16,GBP1,IFIT5,IFIT3,SLC38A10,PSMB8,ECE1,TAP2,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,RCL1,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,SSBP1,ATP2C1,NR2C2	PCK2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,APOL2,EMC8,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,WHSC1L1,STAT2,KIAA0196,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,GRAMD1C,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,DDR2,IFI16,GBP1,IFIT5,IFIT3,SLC38A10,PSMB8,ECE1,TAP2,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,RCL1,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,SSBP1,ATP2C1,NR2C2	8.58e-09	4.96e-06	Organelle	5.304518323509803	0.1941726809132032	1.0299925438291084
COMPARTMENTS	GOCC:0043229	74	9242	9606	PCK2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,NSD3,STAT2,WASHC5,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,DDR2,IFI16,GBP1,IFIT5,IFIT3,SLC38A10,PSMB8,ECE1,TAP2,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,RCL1,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,SSBP1,ATP2C1,NR2C2	PCK2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,WHSC1L1,STAT2,KIAA0196,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,DDR2,IFI16,GBP1,IFIT5,IFIT3,SLC38A10,PSMB8,ECE1,TAP2,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,RCL1,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,SSBP1,ATP2C1,NR2C2	1.18e-08	5.45e-06	Intracellular organelle	5.2636034977233574	0.2044957512122712	1.0763845513504762
COMPARTMENTS	GOCC:0043231	65	7476	9606	PCK2,PSMD10,LAP3,OAS3,NMI,TRIM21,PHC2,OASL,SP110,SAMHD1,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,NSD3,STAT2,OS9,BBX,SLC25A22,TRIM25,PARP10,MX2,OAS2,SP100,JAK1,DNAJB12,TAP1,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,IFI16,GBP1,IFIT3,SLC38A10,PSMB8,ECE1,TAP2,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,RCL1,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,SSBP1,ATP2C1,NR2C2	PCK2,PSMD10,LAP3,OAS3,NMI,TRIM21,PHC2,OASL,SP110,SAMHD1,PML,LPCAT1,NSMCE2,DTX3L,ERAP1,FABP5,COX11,F2,WHSC1L1,STAT2,OS9,BBX,SLC25A22,TRIM25,PARP10,MX2,OAS2,SP100,JAK1,DNAJB12,TAP1,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,IFI16,GBP1,IFIT3,SLC38A10,PSMB8,ECE1,TAP2,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,RCL1,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,SSBP1,ATP2C1,NR2C2	1.8e-08	6.92e-06	Intracellular membrane-bounded organelle	5.1598939055432425	0.24027405960004228	1.2397886557903919
COMPARTMENTS	GOCC:0110165	91	13853	9606	PCK2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,APOL2,NECTIN2,EMC8,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,IFIH1,HERC5,PML,LPCAT1,NSMCE2,ANO10,DTX3L,ERAP1,FABP5,COX11,F2,NSD3,STAT2,WASHC5,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,LIMS2,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,WARS,GRAMD1C,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,DDR2,IFI16,GBP1,IFIT5,IFIT1,IFIT3,EPHB2,SLC38A10,PSMB9,PSMB8,ECE1,TAP2,SKIV2L,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,SAMD9,RCL1,GPR155,DNAJA4,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,PARP14,SSBP1,ATP2C1,NR2C2	PCK2,PSMD10,LAP3,OAS3,EIF2AK2,NMI,APOL2,PVRL2,EMC8,TRIM21,PHC2,OASL,SP110,LGALS3BP,SAMHD1,IFIH1,HERC5,PML,LPCAT1,NSMCE2,ANO10,DTX3L,ERAP1,FABP5,COX11,F2,WHSC1L1,STAT2,KIAA0196,OS9,BBX,SLC25A22,HBA1,TRIM25,PARP10,LIMS2,EHD3,MX2,SYNM,OAS2,SP100,JAK1,DNAJB12,TAP1,WARS,GRAMD1C,SLC25A29,STAT1,XAF1,COL6A1,MPHOSPH8,CENPF,SLC30A1,QSOX1,DDR2,IFI16,GBP1,IFIT5,IFIT1,IFIT3,EPHB2,SLC38A10,PSMB9,PSMB8,ECE1,TAP2,SKIV2L,CCDC22,HLA-C,DNAJC1,AGRN,ISG15,DDX58,SAMD9,RCL1,GPR155,DNAJA4,KIF20A,IRF7,MX1,IFITM3,IFI35,CALCOCO2,HLA-B,TAPBP,VPS52,HELZ2,PARP14,SSBP1,ATP2C1,NR2C2	7.3e-08	2.41e-05	Cellular anatomical entity	4.617982957425132	0.11852755376442166	0.5473582232693902
COMPARTMENTS	GOCC:0031300	11	276	9606	EMC8,COX11,DNAJB12,TAP1,QSOX1,ECE1,TAP2,HLA-C,HLA-B,TAPBP,ATP2C1	EMC8,COX11,DNAJB12,TAP1,QSOX1,ECE1,TAP2,HLA-C,HLA-B,TAPBP,ATP2C1	1.92e-07	5.55e-05	Intrinsic component of organelle membrane	4.255707016877324	0.9015135987569886	3.8365777480404444
COMPARTMENTS	GOCC:0031301	10	255	9606	EMC8,COX11,DNAJB12,TAP1,QSOX1,TAP2,HLA-C,HLA-B,TAPBP,ATP2C1	EMC8,COX11,DNAJB12,TAP1,QSOX1,TAP2,HLA-C,HLA-B,TAPBP,ATP2C1	8.24e-07	0.00021	Integral component of organelle membrane	3.677780705266081	0.894489815230026	3.2897373835100114
COMPARTMENTS	GOCC:0005829	34	2919	9606	PSMD10,LAP3,OAS3,EIF2AK2,NMI,OASL,IFIH1,DTX3L,ERAP1,FABP5,F2,STAT2,HBA1,TRIM25,MX2,JAK1,WARS,STAT1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,CCDC22,ISG15,DDX58,SAMD9,DNAJA4,IRF7,MX1,IFI35,CALCOCO2,PARP14	PSMD10,LAP3,OAS3,EIF2AK2,NMI,OASL,IFIH1,DTX3L,ERAP1,FABP5,F2,STAT2,HBA1,TRIM25,MX2,JAK1,WARS,STAT1,IFI16,GBP1,IFIT1,IFIT3,PSMB9,PSMB8,CCDC22,ISG15,DDX58,SAMD9,DNAJA4,IRF7,MX1,IFI35,CALCOCO2,PARP14	1.04e-06	0.00024	Cytosol	3.619788758288394	0.367274817718222	1.3294572563788392
